,Season,Difference,away,home,score,week,winner,homeATT,homeMID,homeDEF,homeOVR,awayATT,awayMID,awayDEF,awayOVR,homeworth,homeage,awayworth,awayage,homesupport,awaysupport
63,2016.0,1.0,GENÇLERBIRLIĞI,ÇAYKUR RIZESPOR A.Ş.,2 - 1,8.0,home,76.0,68.0,68.0,69.0,69.0,70.0,70.0,70.0,34.68,22.6,36.78,24.1,3369.0,2625.0
64,2016.0,-1.0,KAYSERISPOR,GAZIANTEPSPOR,1 - 2,8.0,away,71.0,69.0,68.0,70.0,73.0,72.0,70.0,71.0,40.55,24.6,45.85,25.0,4236.0,5524.0
65,2016.0,1.0,ADANASPOR A.Ş.,AKHISAR BELEDIYE GENÇLIK VE SPOR,1 - 0,8.0,home,70.0,71.0,71.0,70.0,71.0,67.0,69.0,69.0,50.2,26.7,19.98,23.7,2501.0,4594.0
66,2016.0,-1.0,TRABZONSPOR A.Ş.,GALATASARAY A.Ş.,0 - 1,8.0,away,76.0,77.0,74.0,76.0,73.0,74.0,76.0,74.0,129.35,25.1,95.95,23.8,21351.0,17252.0
67,2016.0,-2.0,BURSASPOR,AYTEMIZ ALANYASPOR,0 - 2,8.0,away,73.0,70.0,71.0,70.0,70.0,72.0,71.0,72.0,38.68,25.5,48.98,24.4,4541.0,16106.0
68,2016.0,-2.0,MEDIPOL BAŞAKŞEHIR FK,KARDEMIR KARABÜKSPOR,0 - 2,8.0,away,71.0,70.0,70.0,70.0,78.0,75.0,73.0,75.0,36.08,25.8,72.95,26.4,4422.0,3208.0
69,2016.0,3.0,ANTALYASPOR A.Ş.,BEŞIKTAŞ A.Ş.,3 - 0,8.0,home,78.0,78.0,76.0,78.0,81.0,71.0,72.0,71.0,177.4,25.3,41.8,25.4,30448.0,12645.0
70,2016.0,-1.0,KASIMPAŞA A.Ş.,OSMANLISPOR FUTBOL KULÜBÜ,1 - 2,8.0,away,74.0,74.0,72.0,73.0,69.0,71.0,71.0,70.0,56.7,25.1,39.5,23.4,3792.0,1416.0
71,2016.0,-1.0,FENERBAHÇE A.Ş.,ATIKER KONYASPOR,0 - 1,8.0,away,72.0,70.0,71.0,71.0,80.0,77.0,78.0,77.0,28.75,25.3,168.68,24.8,15723.0,16485.0
72,2016.0,0.0,BEŞIKTAŞ A.Ş.,GENÇLERBIRLIĞI,1 - 1,9.0,Draw,69.0,70.0,70.0,70.0,78.0,78.0,76.0,78.0,36.78,24.1,177.4,25.3,2625.0,30448.0
73,2016.0,2.0,ATIKER KONYASPOR,BURSASPOR,2 - 0,9.0,home,70.0,72.0,71.0,72.0,72.0,70.0,71.0,71.0,48.98,24.4,28.75,25.3,16106.0,15723.0
74,2016.0,-1.0,GALATASARAY A.Ş.,ADANASPOR A.Ş.,0 - 1,9.0,away,71.0,67.0,69.0,69.0,76.0,77.0,74.0,76.0,19.98,23.7,129.35,25.1,4594.0,21351.0
75,2016.0,2.0,OSMANLISPOR FUTBOL KULÜBÜ,GAZIANTEPSPOR,3 - 1,9.0,home,71.0,69.0,68.0,70.0,74.0,74.0,72.0,73.0,40.55,24.6,56.7,25.1,4236.0,3792.0
76,2016.0,0.0,ÇAYKUR RIZESPOR A.Ş.,TRABZONSPOR A.Ş.,2 - 2,9.0,Draw,73.0,74.0,76.0,74.0,76.0,68.0,68.0,69.0,95.95,23.8,34.68,22.6,17252.0,3369.0
77,2016.0,5.0,KARDEMIR KARABÜKSPOR,FENERBAHÇE A.Ş.,5 - 0,9.0,home,80.0,77.0,78.0,77.0,71.0,70.0,70.0,70.0,168.68,24.8,36.08,25.8,16485.0,4422.0
78,2016.0,4.0,AKHISAR BELEDIYE GENÇLIK VE SPOR,MEDIPOL BAŞAKŞEHIR FK,5 - 1,9.0,home,78.0,75.0,73.0,75.0,70.0,71.0,71.0,70.0,72.95,26.4,50.2,26.7,3208.0,2501.0
79,2016.0,-1.0,ANTALYASPOR A.Ş.,KAYSERISPOR,0 - 1,9.0,away,73.0,72.0,70.0,71.0,81.0,71.0,72.0,71.0,45.85,25.0,41.8,25.4,5524.0,12645.0
80,2016.0,1.0,AYTEMIZ ALANYASPOR,KASIMPAŞA A.Ş.,2 - 1,9.0,home,69.0,71.0,71.0,70.0,73.0,70.0,71.0,70.0,39.5,23.4,38.68,25.5,1416.0,4541.0
81,2016.0,-1.0,MEDIPOL BAŞAKŞEHIR FK,GALATASARAY A.Ş.,1 - 2,10.0,away,76.0,77.0,74.0,76.0,78.0,75.0,73.0,75.0,129.35,25.1,72.95,26.4,21351.0,3208.0
82,2016.0,1.0,GENÇLERBIRLIĞI,ANTALYASPOR A.Ş.,1 - 0,10.0,home,81.0,71.0,72.0,71.0,69.0,70.0,70.0,70.0,41.8,25.4,36.78,24.1,12645.0,2625.0
83,2016.0,0.0,BURSASPOR,KARDEMIR KARABÜKSPOR,0 - 0,10.0,Draw,71.0,70.0,70.0,70.0,70.0,72.0,71.0,72.0,36.08,25.8,48.98,24.4,4422.0,16106.0
84,2016.0,1.0,TRABZONSPOR A.Ş.,BEŞIKTAŞ A.Ş.,2 - 1,10.0,home,78.0,78.0,76.0,78.0,73.0,74.0,76.0,74.0,177.4,25.3,95.95,23.8,30448.0,17252.0
85,2016.0,1.0,GAZIANTEPSPOR,AYTEMIZ ALANYASPOR,4 - 3,10.0,home,73.0,70.0,71.0,70.0,71.0,69.0,68.0,70.0,38.68,25.5,40.55,24.6,4541.0,4236.0
86,2016.0,0.0,KAYSERISPOR,OSMANLISPOR FUTBOL KULÜBÜ,1 - 1,10.0,Draw,74.0,74.0,72.0,73.0,73.0,72.0,70.0,71.0,56.7,25.1,45.85,25.0,3792.0,5524.0
87,2016.0,1.0,KASIMPAŞA A.Ş.,ATIKER KONYASPOR,2 - 1,10.0,home,72.0,70.0,71.0,71.0,69.0,71.0,71.0,70.0,28.75,25.3,39.5,23.4,15723.0,1416.0
88,2016.0,-2.0,FENERBAHÇE A.Ş.,AKHISAR BELEDIYE GENÇLIK VE SPOR,1 - 3,10.0,away,70.0,71.0,71.0,70.0,80.0,77.0,78.0,77.0,50.2,26.7,168.68,24.8,2501.0,16485.0
89,2016.0,0.0,ADANASPOR A.Ş.,ÇAYKUR RIZESPOR A.Ş.,2 - 2,10.0,Draw,76.0,68.0,68.0,69.0,71.0,67.0,69.0,69.0,34.68,22.6,19.98,23.7,3369.0,4594.0
90,2016.0,-3.0,ATIKER KONYASPOR,GAZIANTEPSPOR,0 - 3,11.0,away,71.0,69.0,68.0,70.0,72.0,70.0,71.0,71.0,40.55,24.6,28.75,25.3,4236.0,15723.0
91,2016.0,2.0,AYTEMIZ ALANYASPOR,OSMANLISPOR FUTBOL KULÜBÜ,2 - 0,11.0,home,74.0,74.0,72.0,73.0,73.0,70.0,71.0,70.0,56.7,25.1,38.68,25.5,3792.0,4541.0
92,2016.0,0.0,AKHISAR BELEDIYE GENÇLIK VE SPOR,BURSASPOR,0 - 0,11.0,Draw,70.0,72.0,71.0,72.0,70.0,71.0,71.0,70.0,48.98,24.4,50.2,26.7,16106.0,2501.0
93,2016.0,-1.0,BEŞIKTAŞ A.Ş.,ADANASPOR A.Ş.,1 - 2,11.0,away,71.0,67.0,69.0,69.0,78.0,78.0,76.0,78.0,19.98,23.7,177.4,25.3,4594.0,30448.0
94,2016.0,0.0,KARDEMIR KARABÜKSPOR,KASIMPAŞA A.Ş.,2 - 2,11.0,Draw,69.0,71.0,71.0,70.0,71.0,70.0,70.0,70.0,39.5,23.4,36.08,25.8,1416.0,4422.0
95,2016.0,2.0,GALATASARAY A.Ş.,FENERBAHÇE A.Ş.,2 - 0,11.0,home,80.0,77.0,78.0,77.0,76.0,77.0,74.0,76.0,168.68,24.8,129.35,25.1,16485.0,21351.0
96,2016.0,-2.0,GENÇLERBIRLIĞI,KAYSERISPOR,0 - 2,11.0,away,73.0,72.0,70.0,71.0,69.0,70.0,70.0,70.0,45.85,25.0,36.78,24.1,5524.0,2625.0
97,2016.0,1.0,ÇAYKUR RIZESPOR A.Ş.,MEDIPOL BAŞAKŞEHIR FK,2 - 1,11.0,home,78.0,75.0,73.0,75.0,76.0,68.0,68.0,69.0,72.95,26.4,34.68,22.6,3208.0,3369.0
98,2016.0,-1.0,ANTALYASPOR A.Ş.,TRABZONSPOR A.Ş.,0 - 1,11.0,away,73.0,74.0,76.0,74.0,81.0,71.0,72.0,71.0,95.95,23.8,41.8,25.4,17252.0,12645.0
99,2016.0,3.0,KAYSERISPOR,AYTEMIZ ALANYASPOR,3 - 0,12.0,home,73.0,70.0,71.0,70.0,73.0,72.0,70.0,71.0,38.68,25.5,45.85,25.0,4541.0,5524.0
100,2016.0,2.0,BURSASPOR,GALATASARAY A.Ş.,3 - 1,12.0,home,76.0,77.0,74.0,76.0,70.0,72.0,71.0,72.0,129.35,25.1,48.98,24.4,21351.0,16106.0
101,2016.0,1.0,ADANASPOR A.Ş.,ANTALYASPOR A.Ş.,1 - 0,12.0,home,81.0,71.0,72.0,71.0,71.0,67.0,69.0,69.0,41.8,25.4,19.98,23.7,12645.0,4594.0
102,2016.0,2.0,GAZIANTEPSPOR,KARDEMIR KARABÜKSPOR,2 - 0,12.0,home,71.0,70.0,70.0,70.0,71.0,69.0,68.0,70.0,36.08,25.8,40.55,24.6,4422.0,4236.0
103,2016.0,1.0,KASIMPAŞA A.Ş.,AKHISAR BELEDIYE GENÇLIK VE SPOR,1 - 0,12.0,home,70.0,71.0,71.0,70.0,69.0,71.0,71.0,70.0,50.2,26.7,39.5,23.4,2501.0,1416.0
104,2016.0,0.0,MEDIPOL BAŞAKŞEHIR FK,BEŞIKTAŞ A.Ş.,1 - 1,12.0,Draw,78.0,78.0,76.0,78.0,78.0,75.0,73.0,75.0,177.4,25.3,72.95,26.4,30448.0,3208.0
105,2016.0,-4.0,FENERBAHÇE A.Ş.,ÇAYKUR RIZESPOR A.Ş.,1 - 5,12.0,away,76.0,68.0,68.0,69.0,80.0,77.0,78.0,77.0,34.68,22.6,168.68,24.8,3369.0,16485.0
106,2016.0,0.0,TRABZONSPOR A.Ş.,GENÇLERBIRLIĞI,0 - 0,12.0,Draw,69.0,70.0,70.0,70.0,73.0,74.0,76.0,74.0,36.78,24.1,95.95,23.8,2625.0,17252.0
107,2016.0,0.0,OSMANLISPOR FUTBOL KULÜBÜ,ATIKER KONYASPOR,1 - 1,12.0,Draw,72.0,70.0,71.0,71.0,74.0,74.0,72.0,73.0,28.75,25.3,56.7,25.1,15723.0,3792.0
108,2016.0,0.0,ANTALYASPOR A.Ş.,MEDIPOL BAŞAKŞEHIR FK,2 - 2,13.0,Draw,78.0,75.0,73.0,75.0,81.0,71.0,72.0,71.0,72.95,26.4,41.8,25.4,3208.0,12645.0
109,2016.0,0.0,BEŞIKTAŞ A.Ş.,FENERBAHÇE A.Ş.,0 - 0,13.0,Draw,80.0,77.0,78.0,77.0,78.0,78.0,76.0,78.0,168.68,24.8,177.4,25.3,16485.0,30448.0
110,2016.0,-1.0,AKHISAR BELEDIYE GENÇLIK VE SPOR,GAZIANTEPSPOR,1 - 2,13.0,away,71.0,69.0,68.0,70.0,70.0,71.0,71.0,70.0,40.55,24.6,50.2,26.7,4236.0,2501.0
111,2016.0,1.0,KARDEMIR KARABÜKSPOR,OSMANLISPOR FUTBOL KULÜBÜ,2 - 1,13.0,home,74.0,74.0,72.0,73.0,71.0,70.0,70.0,70.0,56.7,25.1,36.08,25.8,3792.0,4422.0
112,2016.0,-1.0,GALATASARAY A.Ş.,KASIMPAŞA A.Ş.,1 - 2,13.0,away,69.0,71.0,71.0,70.0,76.0,77.0,74.0,76.0,39.5,23.4,129.35,25.1,1416.0,21351.0
113,2016.0,-1.0,ATIKER KONYASPOR,AYTEMIZ ALANYASPOR,2 - 3,13.0,away,73.0,70.0,71.0,70.0,72.0,70.0,71.0,71.0,38.68,25.5,28.75,25.3,4541.0,15723.0
114,2016.0,-2.0,GENÇLERBIRLIĞI,ADANASPOR A.Ş.,0 - 2,13.0,away,71.0,67.0,69.0,69.0,69.0,70.0,70.0,70.0,19.98,23.7,36.78,24.1,4594.0,2625.0
115,2016.0,1.0,ÇAYKUR RIZESPOR A.Ş.,BURSASPOR,2 - 1,13.0,home,70.0,72.0,71.0,72.0,76.0,68.0,68.0,69.0,48.98,24.4,34.68,22.6,16106.0,3369.0
116,2016.0,-1.0,TRABZONSPOR A.Ş.,KAYSERISPOR,0 - 1,13.0,away,73.0,72.0,70.0,71.0,73.0,74.0,76.0,74.0,45.85,25.0,95.95,23.8,5524.0,17252.0
